enrl_term_cd,subj_area_name,disp_catlg_no,disp_sect_no,grd_cd,num_grd,enrl_tot,instr_nm,instr_func_cd,crs_long_ttl,subj_area_cd,crs_catlg_no,sect_no
241,ATMOSPHERIC AND OCEANIC SCIENCES,2       ,2     ,A+ ,18,27,"GONZALEZ, DAVID",01,Air Pollution,A&O SCI,0002    , 002  
241,ATMOSPHERIC AND OCEANIC SCIENCES,2       ,2     ,A  ,5,27,"GONZALEZ, DAVID",01,Air Pollution,A&O SCI,0002    , 002  
241,ATMOSPHERIC AND OCEANIC SCIENCES,2       ,2     ,A- ,2,27,"GONZALEZ, DAVID",01,Air Pollution,A&O SCI,0002    , 002  
241,ATMOSPHERIC AND OCEANIC SCIENCES,2       ,2     ,B  ,1,27,"GONZALEZ, DAVID",01,Air Pollution,A&O SCI,0002    , 002  
241,ATMOSPHERIC AND OCEANIC SCIENCES,2       ,2     ,F  ,1,27,"GONZALEZ, DAVID",01,Air Pollution,A&O SCI,0002    , 002  
241,AFRICAN AMERICAN STUDIES,1       ,1     ,P  ,2,129,"MONTEIRO, NATALINA",01,Introduction to Black Studies,AF AMER,0001    , 001  
241,AFRICAN AMERICAN STUDIES,1       ,1     ,A+ ,42,129,"MONTEIRO, NATALINA",01,Introduction to Black Studies,AF AMER,0001    , 001  
241,AFRICAN AMERICAN STUDIES,1       ,1     ,A  ,31,129,"MONTEIRO, NATALINA",01,Introduction to Black Studies,AF AMER,0001    , 001  
241,AFRICAN AMERICAN STUDIES,1       ,1     ,A- ,15,129,"MONTEIRO, NATALINA",01,Introduction to Black Studies,AF AMER,0001    , 001  
241,AFRICAN AMERICAN STUDIES,1       ,1     ,B+ ,8,129,"MONTEIRO, NATALINA",01,Introduction to Black Studies,AF AMER,0001    , 001  
241,AFRICAN AMERICAN STUDIES,1       ,1     ,B  ,9,129,"MONTEIRO, NATALINA",01,Introduction to Black Studies,AF AMER,0001    , 001  
241,AFRICAN AMERICAN STUDIES,1       ,1     ,B- ,10,129,"MONTEIRO, NATALINA",01,Introduction to Black Studies,AF AMER,0001    , 001  
241,AFRICAN AMERICAN STUDIES,1       ,1     ,C+ ,6,129,"MONTEIRO, NATALINA",01,Introduction to Black Studies,AF AMER,0001    , 001  
241,AFRICAN AMERICAN STUDIES,1       ,1     ,C  ,1,129,"MONTEIRO, NATALINA",01,Introduction to Black Studies,AF AMER,0001    , 001  
241,AFRICAN AMERICAN STUDIES,1       ,1     ,C- ,2,129,"MONTEIRO, NATALINA",01,Introduction to Black Studies,AF AMER,0001    , 001  
241,AFRICAN AMERICAN STUDIES,1       ,1     ,F  ,3,129,"MONTEIRO, NATALINA",01,Introduction to Black Studies,AF AMER,0001    , 001  
241,AFRICAN AMERICAN STUDIES,M107    ,1     ,A+ ,3,20,"KEYES, CHERYL L",03,Cultural History of Rap,AF AMER,0107  M , 001  
241,AFRICAN AMERICAN STUDIES,M107    ,1     ,P  ,1,20,"KEYES, CHERYL L",03,Cultural History of Rap,AF AMER,0107  M , 001  
241,AFRICAN AMERICAN STUDIES,M107    ,1     ,A  ,5,20,"KEYES, CHERYL L",03,Cultural History of Rap,AF AMER,0107  M , 001  
241,AFRICAN AMERICAN STUDIES,M107    ,1     ,NP ,1,20,"KEYES, CHERYL L",03,Cultural History of Rap,AF AMER,0107  M , 001  
241,AFRICAN AMERICAN STUDIES,M107    ,1     ,A- ,3,20,"KEYES, CHERYL L",03,Cultural History of Rap,AF AMER,0107  M , 001  
241,AFRICAN AMERICAN STUDIES,M107    ,1     ,B+ ,3,20,"KEYES, CHERYL L",03,Cultural History of Rap,AF AMER,0107  M , 001  
241,AFRICAN AMERICAN STUDIES,M107    ,1     ,B- ,2,20,"KEYES, CHERYL L",03,Cultural History of Rap,AF AMER,0107  M , 001  
241,AFRICAN AMERICAN STUDIES,M107    ,1     ,C  ,1,20,"KEYES, CHERYL L",03,Cultural History of Rap,AF AMER,0107  M , 001  
241,AFRICAN AMERICAN STUDIES,M107    ,1     ,F  ,1,20,"KEYES, CHERYL L",03,Cultural History of Rap,AF AMER,0107  M , 001  
